jira-id,description,priority,component,module
JIRA-322,Payment setup failure for new users,Critical,Security,PlatformService
JIRA-323,Platform service crash on high load,Medium,API,PlatformService
JIRA-324,Schema migration causing backward compatibility issue,Medium,API,PlatformService
JIRA-325,Authentication failure when logging in,High,Database,PlatformService
JIRA-326,Data pipeline job failure in ETL,Medium,Infrastructure,PlatformService
JIRA-327,Registration form validation error,Critical,Frontend,PlatformService
JIRA-328,Billing API returning incorrect invoice amount,Low,Infrastructure,PlatformService
JIRA-329,Billing API returning incorrect invoice amount,Low,Security,PlatformService
JIRA-330,Database deadlock issue,Critical,Frontend,PlatformService
JIRA-331,Data pipeline job failure in ETL,High,Backend,PlatformService
JIRA-332,API response time exceeding SLAs,Critical,Backend,PlatformService
JIRA-333,API response time exceeding SLAs,Medium,Backend,PlatformService
JIRA-334,Payment setup failure for new users,High,API,PlatformService
JIRA-335,Payment setup failure for new users,High,API,PlatformService
JIRA-336,API response time exceeding SLAs,Medium,Frontend,PlatformService
JIRA-337,Registration form validation error,Critical,Database,PlatformService
JIRA-338,Payment setup failure for new users,Critical,Frontend,PlatformService
JIRA-339,Data pipeline job failure in ETL,High,Infrastructure,PlatformService
JIRA-340,Data pipeline job failure in ETL,Critical,Security,PlatformService
JIRA-341,Intermittent data sync issue in Data Platform,Low,Security,PlatformService
JIRA-342,API response time exceeding SLAs,Critical,Infrastructure,PlatformService
JIRA-343,Schema migration causing backward compatibility issue,High,Database,PlatformService
JIRA-344,Authentication failure when logging in,Low,Database,PlatformService
JIRA-345,Schema migration causing backward compatibility issue,Low,Frontend,PlatformService
JIRA-346,Registration form validation error,Low,Infrastructure,PlatformService
JIRA-347,Schema migration causing backward compatibility issue,High,API,PlatformService
JIRA-348,API response time exceeding SLAs,High,Frontend,PlatformService
JIRA-349,Platform service crash on high load,Critical,API,PlatformService
JIRA-350,Authentication failure when logging in,Low,Backend,PlatformService
JIRA-351,Registration form validation error,Low,Backend,PlatformService
JIRA-352,Platform service crash on high load,High,Database,PlatformService
JIRA-353,Payment setup failure for new users,Medium,Database,PlatformService
JIRA-354,Platform service crash on high load,High,Backend,PlatformService
JIRA-355,Registration form validation error,Low,Database,PlatformService
JIRA-356,Database deadlock issue,High,Database,PlatformService
JIRA-357,Schema migration causing backward compatibility issue,High,Frontend,PlatformService
JIRA-358,Authentication failure when logging in,Low,Database,PlatformService
JIRA-359,Authentication failure when logging in,Low,Backend,PlatformService
JIRA-360,API response time exceeding SLAs,High,Frontend,PlatformService
JIRA-361,Intermittent data sync issue in Data Platform,Critical,Frontend,PlatformService
JIRA-362,Billing API returning incorrect invoice amount,Medium,Backend,PlatformService
JIRA-363,Platform service crash on high load,Low,Security,PlatformService
JIRA-364,Data pipeline job failure in ETL,High,Database,PlatformService
JIRA-365,Database deadlock issue,Medium,Backend,PlatformService
JIRA-366,API response time exceeding SLAs,Medium,API,PlatformService
JIRA-367,Data pipeline job failure in ETL,Medium,Database,PlatformService
JIRA-368,Billing API returning incorrect invoice amount,High,Backend,PlatformService
JIRA-369,Data pipeline job failure in ETL,Medium,Infrastructure,PlatformService
JIRA-370,Billing API returning incorrect invoice amount,High,Frontend,PlatformService
JIRA-371,Authentication failure when logging in,Critical,Database,PlatformService
JIRA-372,Schema migration causing backward compatibility issue,Critical,Backend,PlatformService
JIRA-373,Billing API returning incorrect invoice amount,Low,Frontend,PlatformService
JIRA-374,Billing API returning incorrect invoice amount,Medium,Backend,PlatformService
JIRA-375,API response time exceeding SLAs,Medium,Backend,PlatformService
JIRA-376,Billing API returning incorrect invoice amount,Medium,Frontend,PlatformService
JIRA-377,Registration form validation error,High,Frontend,PlatformService
JIRA-378,Authentication failure when logging in,High,Frontend,PlatformService
JIRA-379,Authentication failure when logging in,Critical,Infrastructure,PlatformService
JIRA-380,Database deadlock issue,Critical,API,PlatformService
JIRA-381,Payment setup failure for new users,High,Infrastructure,PlatformService
JIRA-382,Database deadlock issue,Low,Security,PlatformService
JIRA-383,Registration form validation error,High,Backend,PlatformService
JIRA-384,Billing API returning incorrect invoice amount,Critical,Frontend,PlatformService
JIRA-385,Payment setup failure for new users,High,Database,PlatformService
JIRA-386,Authentication failure when logging in,Low,Database,PlatformService
JIRA-387,Billing API returning incorrect invoice amount,High,Infrastructure,PlatformService
JIRA-388,Registration form validation error,High,Security,PlatformService
JIRA-389,Database deadlock issue,Critical,Database,PlatformService
JIRA-390,Billing API returning incorrect invoice amount,High,Frontend,PlatformService
JIRA-391,Data pipeline job failure in ETL,Medium,Security,PlatformService
JIRA-392,Database deadlock issue,Medium,Database,PlatformService
JIRA-393,Billing API returning incorrect invoice amount,Critical,Frontend,PlatformService
JIRA-394,Platform service crash on high load,Critical,API,PlatformService
JIRA-395,Intermittent data sync issue in Data Platform,Medium,API,PlatformService
JIRA-396,Schema migration causing backward compatibility issue,Medium,Infrastructure,PlatformService
JIRA-397,Schema migration causing backward compatibility issue,Medium,Database,PlatformService
JIRA-398,Authentication failure when logging in,Critical,Infrastructure,PlatformService
JIRA-399,Authentication failure when logging in,High,Security,PlatformService
JIRA-400,Data pipeline job failure in ETL,Low,Frontend,PlatformService
JIRA-401,Database deadlock issue,Low,Backend,PlatformService
JIRA-402,Data pipeline job failure in ETL,High,Security,PlatformService
JIRA-403,Intermittent data sync issue in Data Platform,High,Security,PlatformService
JIRA-404,Authentication failure when logging in,Low,Infrastructure,PlatformService
JIRA-405,Registration form validation error,Medium,Backend,PlatformService
JIRA-406,Authentication failure when logging in,Low,Frontend,PlatformService
JIRA-407,Payment setup failure for new users,High,API,PlatformService
JIRA-408,Authentication failure when logging in,High,Infrastructure,PlatformService
JIRA-409,Intermittent data sync issue in Data Platform,High,Database,PlatformService
JIRA-410,Payment setup failure for new users,Medium,Infrastructure,PlatformService
JIRA-411,Authentication failure when logging in,Low,Infrastructure,PlatformService
JIRA-412,Database deadlock issue,High,API,PlatformService
JIRA-413,Registration form validation error,High,Security,PlatformService
JIRA-414,Payment setup failure for new users,Critical,Security,PlatformService
JIRA-415,Data pipeline job failure in ETL,Critical,Security,PlatformService
JIRA-416,Billing API returning incorrect invoice amount,Low,Security,PlatformService
JIRA-417,Schema migration causing backward compatibility issue,High,Security,PlatformService
JIRA-418,Database deadlock issue,High,Frontend,PlatformService
JIRA-419,Platform service crash on high load,High,API,PlatformService
JIRA-420,Database deadlock issue,High,Backend,PlatformService
JIRA-421,Authentication failure when logging in,Critical,Infrastructure,PlatformService
JIRA-422,Payment setup failure for new users,High,Database,PlatformService
JIRA-423,Database deadlock issue,High,Security,PlatformService
JIRA-424,Intermittent data sync issue in Data Platform,Critical,Security,PlatformService
JIRA-425,Data pipeline job failure in ETL,Medium,Frontend,PlatformService
JIRA-426,Schema migration causing backward compatibility issue,Critical,API,PlatformService
JIRA-427,Registration form validation error,Critical,Security,PlatformService
JIRA-428,Database deadlock issue,Medium,Database,PlatformService
JIRA-429,Payment setup failure for new users,High,Security,PlatformService
JIRA-430,Platform service crash on high load,High,API,PlatformService
JIRA-431,Data pipeline job failure in ETL,Medium,Infrastructure,PlatformService
